route_id,scenario,corridor,direction_key,direction,origin_edge,destination_edge,mapped_first_edge,mapped_last_edge,num_sumo_edges,sumo_edges,length_m,travel_time_s,speed_mps,speed_kmh,mean_map_distance_m,max_map_distance_m,origin_edge_in_route,destination_edge_in_route,route_geometry_length_sumo_m
highway_downtown,highway,,downtown,center_to_neighborhood,122735130,122735133,122735130,122735133,2,122735130|122735133,869,45,19.31111111111111,69.52,2.0106570896296496,3.854551271901209,True,True,869.2737314889484
highway_neighborhood,highway,,neighborhood,neighborhood_to_center,936529579-AddedOffRampEdge,249870999#9,936529579-AddedOffRampEdge,249870999#9,17,936529579-AddedOffRampEdge|849867058#0|263565545#0|849867058#0|936781477|849867058#1|249870999#0|249870999#1|861473248|249870999#3|861473247|263565545#1|249870999#4|249870999#5|249870999#6|249870999#8|249870999#9,908,61,14.885245901639344,53.58688524590164,3.642953602425935,8.354484025618111,True,True,908.1974570444468
urban_road_downtown,urban_road,,downtown,center_to_neighborhood,589550029#0,333172873,589550029#0,131681593#1,46,589550029#0|344371651#2|255838497#2|270082121#1|255838497#2|1216907050#0|230637724#1|270082121#1|230637724#1|505421711#2|199890396#0|199890396#1|424211021#1|199890396#3|-199890396#3|199890396#4|199890396#5|199890396#6|935573769|1218055242#15|935573770#0|935573770#1|935573770#2|547070198#0|935573770#4|1218055243#0|230628805#0|230628805#1|230628805#2|547070189#3|230628805#4|-230628805#5|230628805#5|8579908|-1231761026#0|1231761026#0|1231761026#1|211556995#3|1231761026#1|-1231761026#1|542137840|211556988|972584168#1|211556988-AddedOffRampEdge|333172873|131681593#1,1808,247,7.319838056680162,26.35141700404858,1.6320593641510062,5.739349599993691,True,True,1809.5927181175964
urban_road_neighborhood,urban_road,,neighborhood,neighborhood_to_center,454693652,405489974#2,454693652,500182571#1,46,454693652|464218160|454693652|464218160|454698074|464218160|333172735#0|464218160|-333172735#2|211556995#3|464218160|333172735#2|464218160|333172735#2|-726032525#0|726032525#0|-726032525#1|726032525#1|726032525#2|547070192#1|884851585#0|464218160|884851585#1|329613766#1|935573768|464218160|935573768|1216290407#9|935573767|237587407#0|1216290407#11|454576377#0|-184006418#0|1216824041#8|1216824042#0|1216824041#7|1216824041#6|454576376#3|505421711#0|418821252#1|1216907043#11|1216907043#10|405489974#1|-405489974#2|405489974#2|500182571#1,1813,248,7.310483870967742,26.317741935483873,1.172063159601922,3.083741548310097,True,True,1813.2831513116405
intersection_main_street_downtown,intersection,main_street,downtown,center_to_neighborhood,-934476455,911029849#8,934476455,911029849#8,19,934476455|725434434#0|725434434#2|725434434#3|934476459#1|-485425305#1|485425305#1|485425305#2|934450460#0|911029849#1|911029849#2|-911029849#3|911029849#3|911029849#4|911029849#5|911029849#6|911029849#7|-911029849#8|911029849#8,980,110,8.909090909090908,32.07272727272727,1.475330750497842,4.747486162269952,False,True,980.4322944947737
intersection_main_street_neighborhood,intersection,main_street,neighborhood,neighborhood_to_center,999273076,999273076,-1010702925#0,-725434436#1,22,-1010702925#0|1010702925#0|999273076|265722745#0|-265722745#1|-265722745#2|265722745#3|723838242#1|436054289#1|380166019#0|380166019#1|380166019#2|-165265476#0|934476461#0|934476456#0|934476456#1|934476456#2|-934476456#2|725434436#0|-725434436#1|725434436#0|-725434436#1,1003,108,9.287037037037036,33.43333333333333,1.4521262548862066,3.7369318226452437,True,True,1004.4317559445554
intersection_cross_street_downtown,intersection,cross_street,downtown,center_to_neighborhood,4769664#1,935873979,4769664#1,935873979,17,4769664#1|1095515301|1030481482#6|1095515301|1030481483#0|417905359#1|936476144|936476143|436053734|436053736|549960357|549960356|999273076|934450460#0|768852653#1|768852653#2|935873979,671,122,5.5,19.8,1.1621431552176134,3.0351413023076987,True,True,671.092061657602
intersection_cross_street_neighborhood,intersection,cross_street,neighborhood,neighborhood_to_center,935873980,380166017#3,935873980,380166017#3,11,935873980|471642152#0|911029849#1|999273076|671166010#1|936476142|936476147|975758599|380166017#0|380166017#1|380166017#3,675,131,5.152671755725191,18.549618320610687,0.4859534793419146,2.3447536265286963,True,True,675.1714158855917
